observation_id,scientific_name,condition_ba,observation_url,photo_id,photo_url,license_code,attribution,observed_on,latitude,longitude,local_path,folder_name,common_name
391306187,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/391306187,716996481,https://inaturalist-open-data.s3.amazonaws.com/photos/716996481/medium.jpg,cc-by-nc,"(c) Sophia, some rights reserved (CC BY-NC)",2026-07-29,33.564095,-7.661955,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_391306187_photo_716996481.jpg,Erythrina_crista-galli,Ceibo
391269233,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/391269233,716931741,https://inaturalist-open-data.s3.amazonaws.com/photos/716931741/medium.jpg,cc-by-nc,"(c) ryanbushplants, some rights reserved (CC BY-NC)",2026-07-14,-27.1084284997,152.9564849997,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_391269233_photo_716931741.jpg,Erythrina_crista-galli,Ceibo
391142730,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/391142730,716675867,https://inaturalist-open-data.s3.amazonaws.com/photos/716675867/medium.jpg,cc-by-nc,"(c) Cristiane Silva, some rights reserved (CC BY-NC)",2025-12-02,-23.7743410038,-45.9395121038,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_391142730_photo_716675867.jpg,Erythrina_crista-galli,Ceibo
391041227,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/391041227,716479096,https://inaturalist-open-data.s3.amazonaws.com/photos/716479096/medium.jpg,cc-by-nc,"(c) Michael R. Mahoney, some rights reserved (CC BY-NC)",2026-08-14,-33.90724166,150.9281783333,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_391041227_photo_716479096.jpg,Erythrina_crista-galli,Ceibo
390920521,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/390920521,716236526,https://inaturalist-open-data.s3.amazonaws.com/photos/716236526/medium.jpg,cc-by-nc,"(c) faunaenjoyer7, some rights reserved (CC BY-NC)",2026-08-12,20.022,-155.6745,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_390920521_photo_716236526.jpg,Erythrina_crista-galli,Ceibo
390110882,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/390110882,714657739,https://inaturalist-open-data.s3.amazonaws.com/photos/714657739/medium.jpg,cc-by-nc,"(c) Benjamín Ignacio, some rights reserved (CC BY-NC)",2026-03-05,-34.6045458375,-58.3466797695,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_390110882_photo_714657739.jpg,Erythrina_crista-galli,Ceibo
389955045,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/389955045,714354940,https://inaturalist-open-data.s3.amazonaws.com/photos/714354940/medium.jpg,cc-by-nc,"(c) Li Jianong, some rights reserved (CC BY-NC)",2026-08-02,26.62248023,101.5854853271,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_389955045_photo_714354940.jpg,Erythrina_crista-galli,Ceibo
389897280,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/389897280,714244334,https://inaturalist-open-data.s3.amazonaws.com/photos/714244334/medium.jpg,cc-by-nc,"(c) Haseeb Waseem, some rights reserved (CC BY-NC)",2026-08-10,-27.5411054143,152.9917391146,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_389897280_photo_714244334.jpg,Erythrina_crista-galli,Ceibo
389877229,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/389877229,714203602,https://inaturalist-open-data.s3.amazonaws.com/photos/714203602/medium.jpg,cc-by-nc,"(c) mikacatfan, some rights reserved (CC BY-NC)",2026-08-10,25.0803555,98.5783166667,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_389877229_photo_714203602.jpg,Erythrina_crista-galli,Ceibo
389442379,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/389442379,713352075,https://inaturalist-open-data.s3.amazonaws.com/photos/713352075/medium.jpg,cc-by-nc,"(c) Leandro Monserrat, some rights reserved (CC BY-NC)",2026-08-08,-33.473965,-60.0025133333,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_389442379_photo_713352075.jpg,Erythrina_crista-galli,Ceibo
389328633,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/389328633,713133184,https://inaturalist-open-data.s3.amazonaws.com/photos/713133184/medium.jpg,cc-by-nc,"(c) harryemarks, some rights reserved (CC BY-NC)",1970-01-01,-33.4876823425,151.3099060059,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_389328633_photo_713133184.jpg,Erythrina_crista-galli,Ceibo
389245462,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/389245462,712941078,https://inaturalist-open-data.s3.amazonaws.com/photos/712941078/medium.jpg,cc-by-nc,"(c) Misima Burns, some rights reserved (CC BY-NC)",2026-08-08,-33.696636885,151.2924285741,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_389245462_photo_712941078.jpg,Erythrina_crista-galli,Ceibo
389175687,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/389175687,712835510,https://inaturalist-open-data.s3.amazonaws.com/photos/712835510/medium.jpg,cc-by-nc,"(c) benhope, some rights reserved (CC BY-NC)",2026-08-08,-34.8855216667,150.6118616667,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_389175687_photo_712835510.jpg,Erythrina_crista-galli,Ceibo
388962650,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/388962650,712449971,https://inaturalist-open-data.s3.amazonaws.com/photos/712449971/medium.jpg,cc-by-nc,"(c) akio.suzuki, some rights reserved (CC BY-NC)",2026-08-07,35.5715388889,139.7057111111,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_388962650_photo_712449971.jpg,Erythrina_crista-galli,Ceibo
388648172,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/388648172,711830380,https://inaturalist-open-data.s3.amazonaws.com/photos/711830380/medium.jpg,cc-by,"(c) Rocío Esmeralda Pose, some rights reserved (CC BY)",2026-08-04,-34.8299688997,-57.8746238,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_388648172_photo_711830380.jpg,Erythrina_crista-galli,Ceibo
388627506,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/388627506,711783340,https://inaturalist-open-data.s3.amazonaws.com/photos/711783340/medium.jpg,cc0,no rights reserved,2026-08-02,-35.6809783,-63.6982719,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_388627506_photo_711783340.jpg,Erythrina_crista-galli,Ceibo
388124623,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/388124623,710807509,https://inaturalist-open-data.s3.amazonaws.com/photos/710807509/medium.jpg,cc-by-nc,"(c) littlecricket, some rights reserved (CC BY-NC)",2026-08-04,25.1232111667,99.2065966667,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_388124623_photo_710807509.jpg,Erythrina_crista-galli,Ceibo
388063095,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/388063095,710680143,https://inaturalist-open-data.s3.amazonaws.com/photos/710680143/medium.jpg,cc-by-nc,"(c) kukovica, some rights reserved (CC BY-NC)",2024-10-16,-34.5695583333,-58.4191194444,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_388063095_photo_710680143.jpg,Erythrina_crista-galli,Ceibo
388057226,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/388057226,710669457,https://inaturalist-open-data.s3.amazonaws.com/photos/710669457/medium.jpg,cc-by-nc,"(c) kukovica, some rights reserved (CC BY-NC)",2024-10-16,-34.569675,-58.4193888889,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_388057226_photo_710669457.jpg,Erythrina_crista-galli,Ceibo
387868828,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/387868828,710289136,https://inaturalist-open-data.s3.amazonaws.com/photos/710289136/medium.jpg,cc-by-nc,"(c) Diego Gallotti, some rights reserved (CC BY-NC)",2026-07-24,-28.528394105,-57.1735218396,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_387868828_photo_710289136.jpg,Erythrina_crista-galli,Ceibo
387742944,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/387742944,711307207,https://inaturalist-open-data.s3.amazonaws.com/photos/711307207/medium.jpg,cc-by,"(c) Kevin Jäger, some rights reserved (CC BY)",2026-08-03,-33.8829460144,151.0607299805,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_387742944_photo_711307207.jpg,Erythrina_crista-galli,Ceibo
387596384,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/387596384,709769985,https://inaturalist-open-data.s3.amazonaws.com/photos/709769985/medium.jpg,cc-by-nc,"(c) Micaela, some rights reserved (CC BY-NC)",2025-11-09,-32.9503364563,-60.6287078857,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_387596384_photo_709769985.jpg,Erythrina_crista-galli,Ceibo
387459446,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/387459446,709508606,https://inaturalist-open-data.s3.amazonaws.com/photos/709508606/medium.jpg,cc-by,"(c) Saira Manns, some rights reserved (CC BY)",2026-08-02,-27.4875083333,153.1164695,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_387459446_photo_709508606.jpg,Erythrina_crista-galli,Ceibo
387370924,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/387370924,709335505,https://inaturalist-open-data.s3.amazonaws.com/photos/709335505/medium.jpg,cc-by-nc,"(c) kpedley, some rights reserved (CC BY-NC)",2026-08-02,-27.5413633333,152.99907,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_387370924_photo_709335505.jpg,Erythrina_crista-galli,Ceibo
386941810,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/386941810,708508131,https://inaturalist-open-data.s3.amazonaws.com/photos/708508131/medium.jpg,cc-by,"(c) Lauu, some rights reserved (CC BY)",2026-07-31,-37.0590965,-61.9325359997,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_386941810_photo_708508131.jpg,Erythrina_crista-galli,Ceibo
386796957,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/386796957,708233885,https://inaturalist-open-data.s3.amazonaws.com/photos/708233885/medium.jpg,cc-by-nc,"(c) 梁士明, some rights reserved (CC BY-NC)",2026-07-31,25.00300621,102.66698068,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_386796957_photo_708233885.jpg,Erythrina_crista-galli,Ceibo
386439169,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/386439169,707549048,https://inaturalist-open-data.s3.amazonaws.com/photos/707549048/medium.jpg,cc-by-nc,"(c) Pete Woodall, some rights reserved (CC BY-NC)",2026-07-29,-27.5847802671,152.9883609107,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_386439169_photo_707549048.jpg,Erythrina_crista-galli,Ceibo
385530247,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/385530247,705808102,https://inaturalist-open-data.s3.amazonaws.com/photos/705808102/medium.jpg,cc-by-nc,"(c) frewin, some rights reserved (CC BY-NC)",2026-07-27,-27.5445395508,152.994196796,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_385530247_photo_705808102.jpg,Erythrina_crista-galli,Ceibo
384888087,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/384888087,704588549,https://inaturalist-open-data.s3.amazonaws.com/photos/704588549/medium.jpg,cc-by-nc,"(c) Bruno Acosta, some rights reserved (CC BY-NC)",2026-07-25,-25.2691333333,-57.5584611111,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_384888087_photo_704588549.jpg,Erythrina_crista-galli,Ceibo
384878031,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/384878031,704566888,https://inaturalist-open-data.s3.amazonaws.com/photos/704566888/medium.jpg,cc-by-nc,"(c) Hugo, some rights reserved (CC BY-NC)",2026-07-21,-35.6814897359,-63.6976650368,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_384878031_photo_704566888.jpg,Erythrina_crista-galli,Ceibo
384668723,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/384668723,704164927,https://inaturalist-open-data.s3.amazonaws.com/photos/704164927/medium.jpg,cc-by-nc,"(c) Luciano Macias Sposito, some rights reserved (CC BY-NC)",2026-07-24,-34.5567119997,-58.4094961997,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_384668723_photo_704164927.jpg,Erythrina_crista-galli,Ceibo
384581657,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/384581657,704000974,https://inaturalist-open-data.s3.amazonaws.com/photos/704000974/medium.jpg,cc-by-nc,"(c) Manuel Minteguiaga, some rights reserved (CC BY-NC)",2020-12-27,-31.667036761,-55.9599094883,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_384581657_photo_704000974.jpg,Erythrina_crista-galli,Ceibo
382409410,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/382409410,699814543,https://inaturalist-open-data.s3.amazonaws.com/photos/699814543/medium.jpg,cc-by-nc,"(c) stefirevol, some rights reserved (CC BY-NC)",2026-07-17,-31.7196348,-60.5227099,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_382409410_photo_699814543.jpg,Erythrina_crista-galli,Ceibo
381692492,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/381692492,698436203,https://inaturalist-open-data.s3.amazonaws.com/photos/698436203/medium.jpg,cc-by-nc,"(c) Edward Varnes, some rights reserved (CC BY-NC)",2026-07-15,-27.5445833333,152.994225,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_381692492_photo_698436203.jpg,Erythrina_crista-galli,Ceibo
381526067,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/381526067,698137955,https://inaturalist-open-data.s3.amazonaws.com/photos/698137955/medium.jpg,cc-by-nc,"(c) bursar, some rights reserved (CC BY-NC)",2026-07-15,-33.9974315997,151.13774,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_381526067_photo_698137955.jpg,Erythrina_crista-galli,Ceibo
381522929,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/381522929,698105072,https://inaturalist-open-data.s3.amazonaws.com/photos/698105072/medium.jpg,cc-by-nc,"(c) euonbcc, some rights reserved (CC BY-NC)",2026-07-15,-27.5506465936,153.0058185044,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_381522929_photo_698105072.jpg,Erythrina_crista-galli,Ceibo
381235674,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/381235674,697551974,https://inaturalist-open-data.s3.amazonaws.com/photos/697551974/medium.jpg,cc-by-nc,"(c) ambak, some rights reserved (CC BY-NC)",2026-07-14,-38.1071966995,145.3967820393,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_381235674_photo_697551974.jpg,Erythrina_crista-galli,Ceibo
380830974,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/380830974,696757941,https://inaturalist-open-data.s3.amazonaws.com/photos/696757941/medium.jpg,cc-by-nc,"(c) Diego Gallotti, some rights reserved (CC BY-NC)",2026-07-10,-34.570523606,-58.4169456207,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_380830974_photo_696757941.jpg,Erythrina_crista-galli,Ceibo
379965945,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/379965945,695092959,https://inaturalist-open-data.s3.amazonaws.com/photos/695092959/medium.jpg,cc-by-nc,"(c) Tristen Ash, some rights reserved (CC BY-NC)",2026-07-09,-27.0975519939,152.9628778905,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_379965945_photo_695092959.jpg,Erythrina_crista-galli,Ceibo
379918506,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/379918506,695001385,https://inaturalist-open-data.s3.amazonaws.com/photos/695001385/medium.jpg,cc-by-nc-sa,"(c) saba, some rights reserved (CC BY-NC-SA)",2026-06-22,33.7394191106,133.6375313625,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_379918506_photo_695001385.jpg,Erythrina_crista-galli,Ceibo
379736716,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/379736716,694290205,https://inaturalist-open-data.s3.amazonaws.com/photos/694290205/medium.jpg,cc-by-nc,"(c) Homo paraguayensis, some rights reserved (CC BY-NC)",2026-01-14,-25.265725,-57.5220638889,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_379736716_photo_694290205.jpg,Erythrina_crista-galli,Ceibo
379538548,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/379538548,694165361,https://inaturalist-open-data.s3.amazonaws.com/photos/694165361/medium.jpg,cc-by-nc,"(c) Homo paraguayensis, some rights reserved (CC BY-NC)",2025-12-01,-25.2395111111,-57.5101055556,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_379538548_photo_694165361.jpg,Erythrina_crista-galli,Ceibo
379253976,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/379253976,693715035,https://inaturalist-open-data.s3.amazonaws.com/photos/693715035/medium.jpg,cc-by-nc,"(c) Henrique Borgatto de Almeida Dias, some rights reserved (CC BY-NC)",2024-09-16,-22.8569033333,-48.44648,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_379253976_photo_693715035.jpg,Erythrina_crista-galli,Ceibo
378904108,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/378904108,693032805,https://inaturalist-open-data.s3.amazonaws.com/photos/693032805/medium.jpg,cc-by-nc,"(c) Dp700, some rights reserved (CC BY-NC)",2026-07-07,-33.7351071505,150.6530978319,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_378904108_photo_693032805.jpg,Erythrina_crista-galli,Ceibo
377990366,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/377990366,691276257,https://inaturalist-open-data.s3.amazonaws.com/photos/691276257/medium.jpg,cc-by-nc,"(c) Maleen Mund, some rights reserved (CC BY-NC)",2026-01-06,-34.6075956976,-58.3528626247,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_377990366_photo_691276257.jpg,Erythrina_crista-galli,Ceibo
377947692,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/377947692,691199120,https://inaturalist-open-data.s3.amazonaws.com/photos/691199120/medium.jpg,cc-by-nc,"(c) keegancongleton, some rights reserved (CC BY-NC)",2026-06-22,35.6599876285,139.7669774295,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_377947692_photo_691199120.jpg,Erythrina_crista-galli,Ceibo
377654231,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/377654231,690633142,https://inaturalist-open-data.s3.amazonaws.com/photos/690633142/medium.jpg,cc-by-nc,"(c) Artem Kondratev, some rights reserved (CC BY-NC)",2025-09-04,34.6783866667,138.9447166667,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_377654231_photo_690633142.jpg,Erythrina_crista-galli,Ceibo
377021235,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/377021235,689404626,https://inaturalist-open-data.s3.amazonaws.com/photos/689404626/medium.jpg,cc-by-nc,"(c) Antonio Claudio Sturion Junior, some rights reserved (CC BY-NC)",2024-10-03,-22.7904864887,-47.1581586823,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_377021235_photo_689404626.jpg,Erythrina_crista-galli,Ceibo
376760604,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/376760604,688901867,https://inaturalist-open-data.s3.amazonaws.com/photos/688901867/medium.jpg,cc-by-nc,"(c) Ash Mcleod, some rights reserved (CC BY-NC)",2026-06-30,-27.61713539,153.10163922,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_376760604_photo_688901867.jpg,Erythrina_crista-galli,Ceibo
376721323,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/376721323,688824076,https://inaturalist-open-data.s3.amazonaws.com/photos/688824076/medium.jpg,cc0,no rights reserved,2026-06-30,-26.9529694444,152.7134805556,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_376721323_photo_688824076.jpg,Erythrina_crista-galli,Ceibo
376533412,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/376533412,688457011,https://inaturalist-open-data.s3.amazonaws.com/photos/688457011/medium.jpg,cc-by-nc,"(c) robeyns, some rights reserved (CC BY-NC)",2026-04-20,23.3905939769,113.222925723,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_376533412_photo_688457011.jpg,Erythrina_crista-galli,Ceibo
376453893,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/376453893,688307073,https://inaturalist-open-data.s3.amazonaws.com/photos/688307073/medium.jpg,cc-by-nc,"(c) Michael R. Mahoney, some rights reserved (CC BY-NC)",2026-06-29,-33.90700333,150.9310133333,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_376453893_photo_688307073.jpg,Erythrina_crista-galli,Ceibo
376079313,Erythrina crista-galli,Nativa,https://www.inaturalist.org/observations/376079313,687586765,https://inaturalist-open-data.s3.amazonaws.com/photos/687586765/medium.jpg,cc-by-nc,"(c) Michael R. Mahoney, some rights reserved (CC BY-NC)",2026-06-28,-33.9067505028,150.9326633333,/content/gdrive/MyDrive/2026_IAA_GrupoC/dataset_raw/Erythrina_crista-galli/obs_376079313_photo_687586765.jpg,Erythrina_crista-galli,Ceibo
